Time - Fc (N),Amplitude - Fc (N)
1.722,0.895156
1.724,0.901032
1.726,0.906568
1.728,0.911761
1.73,0.916607
1.732,0.921106
1.734,0.925255
1.736,0.929051
1.738,0.932494
1.74,0.935581
1.742,0.93831
1.744,0.940681
1.746,0.942693
1.748,0.944343
1.75,0.94563
1.752,0.946555
1.754,0.947116
1.756,0.947312
1.758,0.947144
1.76,0.94661
1.762,0.945711
1.764,0.944447
1.766,0.942817
1.768,0.940821
1.77,0.938461
1.772,0.935737
1.774,0.932649
1.776,0.929198
1.778,0.925385
1.78,0.921212
1.782,0.916679
1.784,0.911787
1.786,0.906539
1.788,0.900936
1.79,0.89498
1.792,0.888672
1.794,0.882015
1.796,0.875011
1.798,0.867663
1.8,0.859972
1.802,0.851942
1.804,0.843576
1.806,0.834875
1.808,0.825844
1.81,0.816485
1.812,0.806802
1.814,0.796799
1.816,0.786478
1.818,0.775844
1.82,0.764901
1.822,0.753651
1.824,0.742101
1.826,0.730253
1.828,0.718113
1.83,0.705685
1.832,0.692972
1.834,0.679981
1.836,0.666716
1.838,0.653182
1.84,0.639384
1.842,0.625328
1.844,0.611017
1.846,0.59646
1.848,0.581659
1.85,0.566622
1.852,0.551354
1.854,0.535861
1.856,0.520149
1.858,0.504224
1.86,0.488092
1.862,0.47176
1.864,0.455233
1.866,0.438519
1.868,0.421623
1.87,0.404553
1.872,0.387315
1.874,0.369915
1.876,0.352362
1.878,0.334661
1.88,0.31682
1.882,0.298846
1.884,0.280745
1.886,0.262526
1.888,0.244196
1.89,0.225761
1.892,0.207229
1.894,0.188608
1.896,0.169905
1.898,0.151127
1.9,0.132283
1.902,0.11338
1.904,0.0944253
1.906,0.0754269
1.908,0.0563925
1.91,0.0373298
1.912,0.0182467
1.914,-0.000849036
1.916,-0.0199496
1.918,-0.0390471
1.92,-0.0581337
1.922,-0.0772015
1.924,-0.0962426
1.926,-0.115249
1.928,-0.134213
1.93,-0.153127
1.932,-0.171983
1.934,-0.190772
1.936,-0.209488
1.938,-0.228122
1.94,-0.246666
1.942,-0.265113
1.944,-0.283454
1.946,-0.301683
1.948,-0.319792
1.95,-0.337772
1.952,-0.355616
1.954,-0.373316
1.956,-0.390866
1.958,-0.408257
1.96,-0.425482
1.962,-0.442534
1.964,-0.459405
1.966,-0.476089
1.968,-0.492577
1.97,-0.508863
1.972,-0.524939
1.974,-0.540799
1.976,-0.556437
1.978,-0.571844
1.98,-0.587014
1.982,-0.601941
1.984,-0.616618
1.986,-0.631039
1.988,-0.645197
1.99,-0.659086
1.992,-0.672699
1.994,-0.686032
1.996,-0.699077
1.998,-0.711829
2,-0.724282
2.002,-0.736431
2.004,-0.748271
2.006,-0.759795
2.008,-0.770998
2.01,-0.781876
2.012,-0.792423
2.014,-0.802635
2.016,-0.812507
2.018,-0.822035
2.02,-0.831213
2.022,-0.840037
2.024,-0.848504
2.026,-0.85661
2.028,-0.86435
2.03,-0.871721
2.032,-0.878719
2.034,-0.885341
2.036,-0.891584
2.038,-0.897444
2.04,-0.902919
2.042,-0.908006
2.044,-0.912703
2.046,-0.917006
2.048,-0.920913
2.05,-0.924424
2.052,-0.927534
2.054,-0.930244
2.056,-0.932551
2.058,-0.934453
2.06,-0.93595
2.062,-0.937041
2.064,-0.937724
2.066,-0.937999
2.068,-0.937865
2.07,-0.937323
2.072,-0.936371
2.074,-0.93501
2.076,-0.93324
2.078,-0.931061
2.08,-0.928474
2.082,-0.925479
2.084,-0.922079
2.086,-0.918272
2.088,-0.914061
2.09,-0.909448
2.092,-0.904434
2.094,-0.89902
2.096,-0.893208
2.098,-0.887002
2.1,-0.880402
2.102,-0.873413
2.104,-0.866035
2.106,-0.858273
2.108,-0.850129
2.11,-0.841607
2.112,-0.832709
2.114,-0.82344
2.116,-0.813803
2.118,-0.803802
2.12,-0.793441
2.122,-0.782724
2.124,-0.771657
2.126,-0.760243
2.128,-0.748486
2.13,-0.736393
2.132,-0.723968
2.134,-0.711217
2.136,-0.698144
2.138,-0.684755
2.14,-0.671056
2.142,-0.657053
2.144,-0.642752
2.146,-0.628158
2.148,-0.613279
2.15,-0.59812
2.152,-0.582688
2.154,-0.56699
2.156,-0.551032
2.158,-0.534822
2.16,-0.518367
2.162,-0.501673
2.164,-0.484748
2.166,-0.4676
2.168,-0.450236
2.17,-0.432663
2.172,-0.41489
2.174,-0.396925
2.176,-0.378774
2.178,-0.360447
2.18,-0.341952
2.182,-0.323296
2.184,-0.304488
2.186,-0.285537
2.188,-0.266451
2.19,-0.247239
2.192,-0.227909
2.194,-0.208469
2.196,-0.18893
2.198,-0.1693
2.2,-0.149586
2.202,-0.1298
2.204,-0.109949
2.206,-0.0900427
2.208,-0.07009
2.21,-0.0501002
2.212,-0.0300825
2.214,-0.0100459
2.216,0.0100002
2.218,0.0300467
2.22,0.0500841
2.222,0.0701034
2.224,0.0900952
2.226,0.11005
2.228,0.129959
2.23,0.149813
2.232,0.169602
2.234,0.189317
2.236,0.208949
2.238,0.228489
2.24,0.247927
2.242,0.267254
